slug,name,state,fees,avgSalary,nirf,nirf_number,weight,,,,,,,,,,,,
iit-madras,IIT Madras,Tamil-Nadu,800000,2450000,1,1,89,,,,,,,,,,,,
iit-delhi,IIT Delhi,Delhi,914000,1750000,2,2,83,,,,,,,,,,,,
iit-bombay,IIT Bombay,Maharashtra,1110000,2350000,3,3,88,,,,,,,,,,,,
iit-guwahati,IIT Guwahati,Assam,1241600,2500000,9,9,89,,,,,,,,,,,,
iit-kanpur,IIT Kanpur,Uttar-Pradesh,943000,2627000,5,5,90,,,,,,,,,,,,
iit-kharagpur,IIT Kharagpur,West-Bengal,1053400,2370000,6,6,88,,,,,,,,,,,,
iit-roorkee,IIT Roorkee,Uttarakhand,1071000,2000000,8,8,85,,,,,,,,,,,,
iit-dharwad,IIT Dharwad,Karnataka,800000,1263000,101-150,125.5,62,,,,,,,,,,,,
iit-ropar,IIT Ropar,Punjab,800000,2209000,48,48,81,,,,,,,,,,,,
iit-hyderabad,IIT Hyderabad,Telangana,943000,2250000,7,7,87,,,,,,,,,,,,
iit-indore,IIT Indore,Madhya-Pradesh,881000,2545000,33,33,86,,,,,,,,,,,,
iit-dhanbad,IIT (ISM) Dhanbad,Jharkhand,800000,1680000,35,35,78,,,,,,,,,,,,
iit-varanasi,IIT (BHU) Varanasi,Uttar-Pradesh,835000,2280000,10,10,87,,,,,,,,,,,,
iit-patna,IIT Patna,Bihar,904000,2390000,73,73,79,,,,,,,,,,,,
iit-gandhinagar,IIT Gandhinagar,Gujarat,879000,1500000,29,29,78,,,,,,,,,,,,
iit-bhubaneswar,IIT Bhubaneswar,Odisha,907000,1710000,101-150,125.5,66,,,,,,,,,,,,
iit-mandi,IIT Mandi,Himachal-Pradesh,825000,2238000,72,72,78,,,,,,,,,,,,
iit-jodhpur,IIT Jodhpur,Rajasthan,900000,2130000,68,68,77,,,,,,,,,,,,
iit-tirupati,IIT Tirupati,Andhra-Pradesh,850000,1350000,101-150,125.5,63,,,,,,,,,,,,
